action_id,source_agent,entity,issue,recommended_action,priority,expected_impact,confidence
ACT-00099,EDD Breach Alert Agent,AWB6935981870,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00100,EDD Breach Alert Agent,AWB7653706713,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00101,EDD Breach Alert Agent,AWB8228448001,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00102,EDD Breach Alert Agent,AWB6522179084,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00103,EDD Breach Alert Agent,AWB2400836038,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00104,EDD Breach Alert Agent,AWB1173243475,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00105,EDD Breach Alert Agent,AWB4545893455,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00106,EDD Breach Alert Agent,AWB5528583535,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00107,EDD Breach Alert Agent,AWB6140677936,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00108,EDD Breach Alert Agent,AWB2111518904,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00109,EDD Breach Alert Agent,AWB7387097224,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00110,EDD Breach Alert Agent,AWB5467505769,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00111,EDD Breach Alert Agent,AWB8185435538,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00112,EDD Breach Alert Agent,AWB9460238042,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00113,EDD Breach Alert Agent,AWB2931578398,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00114,EDD Breach Alert Agent,AWB8773575756,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00115,EDD Breach Alert Agent,AWB6335221883,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00116,EDD Breach Alert Agent,AWB7788594214,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00117,EDD Breach Alert Agent,AWB7549259881,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00118,EDD Breach Alert Agent,AWB5654230978,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00119,EDD Breach Alert Agent,AWB6558298501,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00120,EDD Breach Alert Agent,AWB5024581424,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00121,EDD Breach Alert Agent,AWB6789258310,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00122,EDD Breach Alert Agent,AWB5509026798,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00123,EDD Breach Alert Agent,AWB9508474079,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00124,EDD Breach Alert Agent,AWB0892192559,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00125,EDD Breach Alert Agent,AWB5036772027,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00126,EDD Breach Alert Agent,AWB4892827446,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00127,EDD Breach Alert Agent,AWB4657259138,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00128,EDD Breach Alert Agent,AWB0366278303,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00129,EDD Breach Alert Agent,AWB5942056277,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00130,EDD Breach Alert Agent,AWB6862340575,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00131,EDD Breach Alert Agent,AWB4803320007,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00132,EDD Breach Alert Agent,AWB4958670026,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00133,EDD Breach Alert Agent,AWB4422573849,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00134,EDD Breach Alert Agent,AWB0979682537,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00135,EDD Breach Alert Agent,AWB2231783547,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00136,EDD Breach Alert Agent,AWB8603277191,"High risk, EDD in 0d",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00137,Carrier Partner Watchlist,South Delhi (National) — Carrier D,EDD 73.3% vs 95% target (21.7pp gap) — CHRONIC_UNDERPERFORMANCE,Send carrier improvement notice (deadline 2026-03-19); escalate to volume shift if unresolved,P1 - Urgent,Protects 21 shipments/period on this lane,carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
ACT-00138,Carrier Partner Watchlist,North Delhi (National) — Carrier D,EDD 77.8% vs 95% target (17.2pp gap) — CHRONIC_UNDERPERFORMANCE,Send carrier improvement notice (deadline 2026-03-19); escalate to volume shift if unresolved,P1 - Urgent,Protects 20 shipments/period on this lane,carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
ACT-00139,Carrier Partner Watchlist,Bangalore (Metro) — Carrier A,EDD 78.1% vs 95% target (16.9pp gap) — TRANSIT_CEILING_BREACH,Send carrier improvement notice (deadline 2026-03-19); escalate to volume shift if unresolved,P1 - Urgent,Protects 184 shipments/period on this lane,carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
ACT-00140,Carrier Partner Watchlist,Hyderabad (Metro) — Carrier A,EDD 78.6% vs 95% target (16.4pp gap) — TRANSIT_CEILING_BREACH,Send carrier improvement notice (deadline 2026-03-19); escalate to volume shift if unresolved,P1 - Urgent,Protects 71 shipments/period on this lane,carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
ACT-00141,Carrier Partner Watchlist,Ahmedabad (Metro) — Carrier B,EDD 78.9% vs 95% target (16.1pp gap) — CHRONIC_UNDERPERFORMANCE,Send carrier improvement notice (deadline 2026-03-19); escalate to volume shift if unresolved,P1 - Urgent,Protects 28 shipments/period on this lane,carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
ACT-00142,Carrier Partner Watchlist,Gurgaon (Metro) — Carrier A,EDD 79.4% vs 95% target (15.6pp gap) — TRANSIT_CEILING_BREACH,Send carrier improvement notice (deadline 2026-03-19); escalate to volume shift if unresolved,P1 - Urgent,Protects 81 shipments/period on this lane,carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
ACT-00143,Carrier Partner Watchlist,West Delhi (National) — Carrier D,EDD 81.0% vs 95% target (14.0pp gap) — CHRONIC_UNDERPERFORMANCE,Send carrier improvement notice (deadline 2026-03-19); escalate to volume shift if unresolved,P1 - Urgent,Protects 31 shipments/period on this lane,carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
ACT-00144,Carrier Partner Watchlist,Surat (National) — Carrier D,EDD 81.2% vs 95% target (13.8pp gap) — CHRONIC_UNDERPERFORMANCE,Send carrier improvement notice (deadline 2026-03-19); escalate to volume shift if unresolved,P1 - Urgent,Protects 20 shipments/period on this lane,carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
ACT-00145,Carrier Partner Watchlist,Ghaziabad (National) — Carrier D,"EDD 81.8% vs 95% target (13.2pp gap) — CHRONIC_UNDERPERFORMANCE, TRANSIT_CEILING_BREACH",Send carrier improvement notice (deadline 2026-03-19); escalate to volume shift if unresolved,P1 - Urgent,Protects 45 shipments/period on this lane,carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
ACT-00146,Carrier Partner Watchlist,K.V.Rangareddy (National) — Carrier C,"EDD 83.9% vs 95% target (11.1pp gap) — CHRONIC_UNDERPERFORMANCE, TRANSIT_CEILING_BREACH",Send carrier improvement notice (deadline 2026-03-19); escalate to volume shift if unresolved,P1 - Urgent,Protects 38 shipments/period on this lane,carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
ACT-00147,Carrier Partner Watchlist,Mumbai (Local) — Carrier A,EDD 85.2% vs 95% target (9.8pp gap) — TRANSIT_CEILING_BREACH,Send carrier improvement notice (deadline 2026-03-19); escalate to volume shift if unresolved,P1 - Urgent,Protects 150 shipments/period on this lane,carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
ACT-00148,Carrier Partner Watchlist,Gautam Buddha Nagar (Metro) — Carrier C,EDD 86.0% vs 95% target (9.0pp gap) — TRANSIT_CEILING_BREACH,Send carrier improvement notice (deadline 2026-03-19); escalate to volume shift if unresolved,P1 - Urgent,Protects 58 shipments/period on this lane,carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
ACT-00149,Lane Intelligence Agent,Thane (Local),Lane health 79.8 — Intervention Required,Investigate hub + carrier allocation; prioritize NDR outreach for COD,P1 - Urgent,49 shipments/period at risk,DERIVED (statistical lane scorecard)
ACT-00150,Lane Intelligence Agent,Jaipur (National),Lane health 79.2 — Intervention Required,Investigate hub + carrier allocation; prioritize NDR outreach for COD,P1 - Urgent,34 shipments/period at risk,DERIVED (statistical lane scorecard)
ACT-00151,Lane Intelligence Agent,Ghaziabad (National),Lane health 77.1 — Intervention Required,Investigate hub + carrier allocation; prioritize NDR outreach for COD,P1 - Urgent,45 shipments/period at risk,DERIVED (statistical lane scorecard)
ACT-00152,Lane Intelligence Agent,Ahmedabad (Metro),Lane health 74.6 — Intervention Required,Investigate hub + carrier allocation; prioritize NDR outreach for COD,P1 - Urgent,28 shipments/period at risk,DERIVED (statistical lane scorecard)
ACT-00153,Carrier Partner Watchlist,Jaipur (National) — Carrier D,EDD 87.5% vs 95% target (7.5pp gap) — CHRONIC_UNDERPERFORMANCE,Send carrier improvement notice (deadline 2026-03-19); escalate to volume shift if unresolved,P1 - Urgent,Protects 34 shipments/period on this lane,carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
ACT-00154,Carrier Partner Watchlist,Pune (Metro) — Carrier A,"EDD 87.9% vs 95% target (7.1pp gap) — CHRONIC_UNDERPERFORMANCE, TRANSIT_CEILING_BREACH",Send carrier improvement notice (deadline 2026-03-19); escalate to volume shift if unresolved,P1 - Urgent,Protects 69 shipments/period on this lane,carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
ACT-00155,Carrier Partner Watchlist,Faridabad (National) — Carrier D,EDD 88.9% vs 95% target (6.1pp gap) — CHRONIC_UNDERPERFORMANCE,Send carrier improvement notice (deadline 2026-03-19); escalate to volume shift if unresolved,P1 - Urgent,Protects 25 shipments/period on this lane,carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
ACT-00156,EDD Breach Alert Agent,AWB6865065799,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00157,EDD Breach Alert Agent,AWB8297032169,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00158,EDD Breach Alert Agent,AWB5956236445,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00159,EDD Breach Alert Agent,AWB0937425335,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00160,EDD Breach Alert Agent,AWB4891200702,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00161,EDD Breach Alert Agent,AWB1618803466,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00162,EDD Breach Alert Agent,AWB2843583327,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00163,EDD Breach Alert Agent,AWB6591670545,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00164,EDD Breach Alert Agent,AWB7111316078,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00165,EDD Breach Alert Agent,AWB1861497372,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00166,EDD Breach Alert Agent,AWB0515568904,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00167,EDD Breach Alert Agent,AWB5823018524,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00168,EDD Breach Alert Agent,AWB2641252229,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00169,EDD Breach Alert Agent,AWB5625166410,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00170,EDD Breach Alert Agent,AWB7546295233,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00171,EDD Breach Alert Agent,AWB0364512370,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00172,EDD Breach Alert Agent,AWB4081481399,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00173,EDD Breach Alert Agent,AWB0277783507,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00174,EDD Breach Alert Agent,AWB7406887171,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00175,EDD Breach Alert Agent,AWB4371161116,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00176,EDD Breach Alert Agent,AWB5894429778,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00177,EDD Breach Alert Agent,AWB1121906502,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00178,EDD Breach Alert Agent,AWB1464789862,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00179,EDD Breach Alert Agent,AWB7955148734,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00180,EDD Breach Alert Agent,AWB0588874415,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00181,EDD Breach Alert Agent,AWB0552317185,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00182,EDD Breach Alert Agent,AWB4796329640,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00183,EDD Breach Alert Agent,AWB2393568624,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00184,EDD Breach Alert Agent,AWB3350253098,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00185,EDD Breach Alert Agent,AWB2467911406,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00186,EDD Breach Alert Agent,AWB5717109161,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00187,EDD Breach Alert Agent,AWB7452165702,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00188,Lane Intelligence Agent,West Delhi (National),Lane health 73.6 — Intervention Required,Investigate hub + carrier allocation; prioritize NDR outreach for COD,P1 - Urgent,31 shipments/period at risk,DERIVED (statistical lane scorecard)
ACT-00189,COD Remittance Agent,1152 shipments,"Overdue COD remittance, total Rs 1,074,096",Send remittance follow-up to carriers (see cod_remittance_queue.csv),P1 - Urgent,"Recover Rs 1,074,096 working capital",ACTUAL (rule-based trigger)
ACT-00190,NDR Recovery Agent,AWB7546295233,Active NDR: Phone not reachable,Send SMS/WhatsApp with reattempt slot; try alternate number,P2 - High,Reattempt success probability 50%,"AI_PREDICTED (reason-level fallback, n=161)"
ACT-00191,NDR Recovery Agent,AWB3721046183,Active NDR: Phone not reachable,Send SMS/WhatsApp with reattempt slot; try alternate number,P2 - High,Reattempt success probability 50%,"AI_PREDICTED (reason-level fallback, n=161)"
ACT-00192,NDR Recovery Agent,AWB7387097224,Active NDR: Phone not reachable,Send SMS/WhatsApp with reattempt slot; try alternate number,P2 - High,Reattempt success probability 50%,"AI_PREDICTED (reason-level fallback, n=161)"
ACT-00193,NDR Recovery Agent,AWB6894977557,Active NDR: Customer not available,Offer delivery-slot rescheduling (customer picks a window),P2 - High,Reattempt success probability 57%,"AI_PREDICTED (reason-level fallback, n=113)"
ACT-00194,NDR Recovery Agent,AWB5519686422,Active NDR: Customer not available,Offer delivery-slot rescheduling (customer picks a window),P2 - High,Reattempt success probability 57%,"AI_PREDICTED (reason-level fallback, n=113)"
ACT-00195,NDR Recovery Agent,AWB4715303007,Active NDR: Customer not available,Offer delivery-slot rescheduling (customer picks a window),P2 - High,Reattempt success probability 57%,"AI_PREDICTED (reason-level fallback, n=113)"
